href,phase,video_code,parsed_date,torrent_type
/v/Bzg969,2,GVH-757,2025-07-09 20:05:43,no_subtitle
/v/ZNdJ5P,2,AKDL-331,2025-07-09 20:05:31,no_subtitle
/v/pkqev9,2,GNSZ-001,2025-07-09 20:05:25,no_subtitle
/v/AqK23y,2,PJAB-012,2025-07-09 20:05:18,no_subtitle
/v/MbqkvQ,2,JAC-218,2025-07-09 20:05:12,no_subtitle
/v/YwrkZd,2,JUR-380,2025-07-09 20:05:05,"hacked_subtitle,no_subtitle"
/v/pkqeeq,2,MANX-014,2025-07-09 20:04:59,"hacked_no_subtitle,no_subtitle"
/v/ZNd9bX,2,JUVR-234,2025-07-09 20:04:53,"hacked_no_subtitle,no_subtitle"
/v/kKyNkJ,2,AKDL-332,2025-07-09 20:04:46,no_subtitle
/v/WwVNeQ,1,SONE-805,2025-07-09 20:02:01,subtitle
/v/a8yn0X,1,SONE-804,2025-07-09 20:01:55,subtitle
/v/4DdP2b,1,SONE-798,2025-07-09 20:01:48,subtitle
/v/0edX1J,1,SONE-795,2025-07-09 20:01:42,subtitle
/v/YwrOPe,1,SONE-758,2025-07-09 20:01:35,subtitle
/v/degnW0,1,IPZZ-604,2025-07-09 20:01:29,subtitle
/v/Bzg9G6,1,IPZZ-602,2025-07-09 20:01:22,subtitle
/v/wKkAPz,1,IPZZ-601,2025-07-09 20:01:16,subtitle
/v/gyqndG,1,IPZZ-599,2025-07-09 20:01:09,subtitle
/v/3nrDY9,1,IPZZ-575,2025-07-09 20:01:03,"hacked_subtitle,subtitle"
/v/mOJnXY,1,IPZZ-574,2025-07-09 20:00:57,"hacked_subtitle,subtitle"
/v/96qBv8,2,NGOD-272,2025-07-08 20:06:00,no_subtitle
/v/z458vJ,2,APGH-039,2025-07-08 20:05:24,no_subtitle
/v/a8ynA3,2,LULU-384,2025-07-08 20:05:18,no_subtitle
/v/Ywrbxb,2,FLAV-398,2025-07-08 20:05:11,no_subtitle
/v/z450kQ,2,SIRO-5499,2025-07-08 20:05:05,no_subtitle
/v/YwqAGK,2,JUR-350,2025-07-08 20:04:58,"hacked_no_subtitle,no_subtitle"
/v/ne4aA9,1,MIDV-247,2025-07-08 20:02:58,"hacked_subtitle,subtitle"
/v/RdJmPD,1,MIDV-228,2025-07-08 20:02:51,"hacked_subtitle,subtitle"
/v/XWqb01,1,MIDV-206,2025-07-08 20:02:45,"hacked_subtitle,subtitle"
/v/DR4Jp3,1,FTHTD-094,2025-07-08 20:02:38,subtitle
/v/xAgmwB,1,FPRE-184,2025-07-08 20:02:32,subtitle
/v/NQPOqx,1,FPRE-183,2025-07-08 20:02:26,subtitle
/v/a8ypZX,1,FOCS-257,2025-07-08 20:02:19,subtitle
/v/V4NpVD,1,FERA-200,2025-07-08 20:02:13,subtitle
/v/Rk2Jv4,1,EUUD-067,2025-07-08 20:02:06,subtitle
/v/xAgN9P,1,EUUD-066,2025-07-08 20:02:00,subtitle
/v/BzKNP1,1,EUUD-065,2025-07-08 20:01:53,subtitle
/v/xAgmO6,1,DVEH-056,2025-07-08 20:01:47,subtitle
/v/wKpWke,1,DVEH-054,2025-07-08 20:01:41,subtitle
/v/82X7Z3,1,JUR-197,2025-07-08 20:01:34,"hacked_subtitle,subtitle"
/v/XzOrG,1,JUL-300,2025-07-08 20:01:28,"hacked_no_subtitle,subtitle"
/v/mbRwD,1,JUL-142,2025-07-08 20:01:21,"hacked_no_subtitle,subtitle"
/v/XeqeGJ,1,JUFE-583,2025-07-08 20:01:15,"hacked_no_subtitle,subtitle"
/v/KeV6,1,IPZ-826,2025-07-08 20:01:08,"hacked_subtitle,subtitle"
/v/bNWA,1,IPZ-700,2025-07-08 20:01:02,"hacked_no_subtitle,subtitle"
/v/J00yx,1,IPZ-166,2025-07-08 20:00:55,"hacked_no_subtitle,subtitle"
/v/6dqGZ0,2,MKMP-650,2025-07-07 20:05:45,no_subtitle
/v/J06Yg8,2,ROE-386,2025-07-07 20:05:27,no_subtitle
/v/p33M9,2,HBAD-338,2025-07-07 20:05:21,"hacked_no_subtitle,no_subtitle"
/v/wKkaRB,2,DOKS-641,2025-07-07 20:05:03,no_subtitle
/v/mOJk9v,2,MDVR-351,2025-07-07 20:04:51,no_subtitle
/v/G8dAb,2,HZGD-175,2025-07-07 20:04:34,"hacked_no_subtitle,no_subtitle"
/v/Mbq8gA,2,HMN-708,2025-07-07 20:04:27,"hacked_no_subtitle,no_subtitle"
/v/wKkAr1,1,WAAA-543,2025-07-07 20:02:09,subtitle
/v/yx4RbZ,1,WAAA-542,2025-07-07 20:02:02,subtitle
/v/gyqnME,1,WAAA-541,2025-07-07 20:01:56,subtitle
/v/r3YZdJ,1,WAAA-539,2025-07-07 20:01:49,subtitle
/v/NQPOnN,1,WAAA-537,2025-07-07 20:01:43,subtitle
/v/degn8M,1,WAAA-536,2025-07-07 20:01:36,subtitle
/v/YwrO3p,1,WAAA-511,2025-07-07 20:01:30,"hacked_subtitle,subtitle"
/v/yx4RPZ,1,VENX-326,2025-07-07 20:01:23,subtitle
/v/7yqdPB,1,VENX-325,2025-07-07 20:01:17,subtitle
/v/2d3zy,1,IPX-899,2025-07-07 20:01:10,"hacked_no_subtitle,subtitle"
/v/W5bn8,1,IPX-793,2025-07-07 20:01:04,"hacked_no_subtitle,subtitle"
/v/yVgJg,1,IPIT-024,2025-07-07 20:00:57,"hacked_no_subtitle,subtitle"
/v/AqK13n,2,START-345,2025-07-06 21:05:19,no_subtitle
/v/96q3DV,2,DLDSS-406,2025-07-06 21:04:56,no_subtitle
/v/nKz6ee,2,MGOLD-037,2025-07-06 21:04:50,no_subtitle
/v/mOJqAR,2,NGOD-275,2025-07-06 21:04:21,no_subtitle
/v/a8yQ5r,2,DRPT-091,2025-07-06 21:04:15,no_subtitle
/v/z45Y8J,2,ROE-377,2025-07-06 21:04:03,no_subtitle
/v/1A4OBJ,2,FNS-077,2025-07-06 21:03:21,"hacked_no_subtitle,no_subtitle"
/v/1A4m8w,2,JUR-396,2025-07-06 21:02:45,no_subtitle
/v/kKyz36,2,JUR-333,2025-07-06 21:02:22,no_subtitle
/v/a8ynOX,2,DASS-679,2025-07-06 21:01:54,no_subtitle
/v/bKw2kB,2,AVSA-388,2025-07-06 21:01:42,no_subtitle
/v/Xe4JqG,2,SAVR-663,2025-07-06 21:01:29,no_subtitle
/v/Eb6Awx,2,MKMP-649,2025-07-06 21:01:12,no_subtitle
/v/bKwYvP,2,HZGD-310,2025-07-06 21:00:43,no_subtitle
/v/pkqXOB,2,JUR-364,2025-07-06 21:00:37,no_subtitle
/v/82qAYV,2,SONE-808,2025-07-06 21:00:25,no_subtitle
/v/DRVkWa,2,JUR-397,2025-07-06 21:00:13,no_subtitle
/v/kKyzd0,2,JUR-436,2025-07-06 21:00:06,no_subtitle
/v/3nrZDb,2,REAL-922,2025-07-06 20:59:55,no_subtitle
/v/e8OnRd,2,ALDN-480,2025-07-06 20:59:48,no_subtitle
/v/e8OAkd,2,BAB-163,2025-07-06 20:59:42,no_subtitle
/v/r3Y4Nv,1,PPPE-353,2025-07-06 20:57:13,subtitle
/v/5nXb5D,1,PPPE-350,2025-07-06 20:57:06,subtitle
/v/bKwOVv,1,PPPE-348,2025-07-06 20:57:00,subtitle
/v/Xe4V05,1,PPPE-346,2025-07-06 20:56:53,subtitle
/v/QNWrq4,1,PPPE-345,2025-07-06 20:56:47,subtitle
/v/mOpM9Z,1,PFAS-033,2025-07-06 20:56:41,subtitle
/v/5nXRkB,1,NTRD-125,2025-07-06 20:56:34,subtitle
/v/wKkxWn,1,NSFS-393,2025-07-06 20:56:28,subtitle
/v/5nXaz7,1,NSFS-392,2025-07-06 20:56:21,subtitle
/v/QNW4XG,1,NPJS-201,2025-07-06 20:56:15,subtitle
/v/AqK8Vw,1,MIDA-216,2025-07-06 20:56:08,"hacked_subtitle,subtitle"
/v/Rk26xp,1,JUR-381,2025-07-06 20:56:02,"hacked_subtitle,subtitle"
/v/J2nyW,1,HBAD-361,2025-07-06 20:55:55,"hacked_no_subtitle,subtitle"
/v/OXwmO,1,HBAD-345,2025-07-06 20:55:49,"hacked_no_subtitle,subtitle"
/v/RkJ2R,1,HBAD-342,2025-07-06 20:55:42,"hacked_no_subtitle,subtitle"
/v/dEkJe,2,GVG-813,2025-07-05 22:34:36,"hacked_no_subtitle,no_subtitle"
/v/K4ybQ,2,GVG-222,2025-07-05 22:34:34,"hacked_no_subtitle,no_subtitle"
/v/E931M,2,FOCS-071,2025-07-05 22:34:33,"hacked_no_subtitle,no_subtitle"
